code,净值日期,累计净值,return
515180,2021-07-12,1.3211,0.007704042715484416
515180,2021-07-13,1.3308,0.007342366209976525
515180,2021-07-14,1.3236,-0.0054102795311090635
515180,2021-07-15,1.3312,0.005741915986702706
515180,2021-07-16,1.3343,0.002328725961538547
515650,2019-10-18,0.9999,-9.999999999998899e-05
515650,2019-10-25,1.0009,0.0010001000100008373
515650,2019-11-01,1.0189,0.0179838145668898
515650,2019-11-04,1.0219,0.0029443517518894513
515650,2019-11-08,1.0219,0.0
515650,2019-11-11,1.0016,-0.019864957432234043
515650,2019-11-12,0.9966,-0.004992012779552746
515650,2019-11-13,1.001,0.004415011037527394
515650,2019-11-14,1.0005,-0.0004995004995004271
515650,2019-11-15,0.9932,-0.007296351824087943
515650,2019-11-18,0.9969,0.0037253322593637783
515650,2019-11-19,1.0062,0.009328919650917866
515650,2019-11-20,1.0019,-0.004273504273504258
515650,2019-11-21,0.9944,-0.00748577702365516
515650,2019-11-22,0.9759,-0.018604183427192278
515650,2019-11-25,0.9768,0.0009222256378726978
515650,2019-11-26,0.9832,0.006552006552006606
515650,2019-11-27,0.9782,-0.005085435313262776
515650,2019-11-28,0.9756,-0.0026579431609077275
515650,2019-11-29,0.9589,-0.017117671176711813
515650,2019-12-02,0.9626,0.0038585879653769695
515650,2019-12-03,0.9674,0.004986494909619887
515650,2019-12-04,0.9729,0.005685342154227779
515650,2019-12-05,0.9754,0.0025696371672321305
515650,2019-12-06,0.9887,0.013635431617797789
515650,2019-12-09,0.9859,-0.0028320016182866725
515650,2019-12-10,0.9864,0.0005071508266558666
515650,2019-12-11,0.9793,-0.007197891321979011
515650,2019-12-12,0.9741,-0.005309915245583552
515650,2019-12-13,0.9921,0.018478595626732375
515650,2019-12-16,0.9881,-0.004031851627860128
515650,2019-12-17,0.9999,0.011942111122356103
515650,2019-12-18,0.9995,-0.0004000400040004015
515650,2019-12-19,0.9965,-0.0030015007503751967
515650,2019-12-20,0.9942,-0.002308078273958958
515650,2019-12-23,0.9896,-0.0046268356467511484
515650,2019-12-24,0.9943,0.004749393694421844
515650,2019-12-25,0.9888,-0.005531529719400519
515650,2019-12-26,0.9942,0.005461165048543659
515650,2019-12-27,0.9989,0.004727419030376323
515650,2019-12-30,1.0153,0.01641805986585254
515650,2019-12-31,1.0166,0.001280409731113874
515650,2020-01-02,1.0251,0.00836120401337781
515650,2020-01-03,1.0112,-0.013559652716807924
515650,2020-01-06,0.9999,-0.011174841772152
515650,2020-01-07,1.0156,0.015701570157015787
515650,2020-01-08,1.0169,0.0012800315084677827
